country,company,company hq,method,specific location,source,notes
India,"TaskUs, Inc.",,SEC 10-K Exhibit 26,TaskUs India Private Limited (Navi Mumbai),https://www.sec.gov/Archives/edgar/data/1829864/000182986426000012/exhibit211subsidiaries2025.htm,
India,Innodata Inc.,,SEC 10-K Exhibit 27,Innodata India Private Limited (New Delhi),https://www.sec.gov/Archives/edgar/data/903651/000110465926020655/inod-20251231xex21.htm,
India,Centific,,Locations listed on company website,Chennai,https://www.centific.com/company/locations,
India,Centific,,Locations listed on company website,Hyderabad,https://www.centific.com/company/locations,
India,DesiCrew,,Locations listed on company website,Chennai,https://desicrew.in/about-us/company-profile/,has offices in US too despite HQ in india
India,DesiCrew,,Locations listed on company website,"Kaup, Karnataka",https://desicrew.in/about-us/company-profile/,
India,DesiCrew,,Locations listed on company website,"Villupuram, TN",https://desicrew.in/about-us/company-profile/,
India,DesiCrew,,Locations listed on company website,"Erode, TN",https://desicrew.in/about-us/company-profile/,
India,DesiCrew,,Locations listed on company website,"Kollu, TN",https://desicrew.in/about-us/company-profile/,
India,iMerit,Silicon Valley,Locations listed on company website,"Kolkata, India",https://imerit.ai/about-us/?utm_medium=ppc&utm_source=adwords&utm_campaign=Omni%20Lab%20l%20Google%20Ads%20l%20Brand%20l%20US&utm_term=imerit&utm_content=Brand,
India,iMerit,Silicon Valley,Locations listed on company website,"Bengaluru, India",https://imerit.ai/about-us/?utm_medium=ppc&utm_source=adwords&utm_campaign=Omni%20Lab%20l%20Google%20Ads%20l%20Brand%20l%20US&utm_term=imerit&utm_content=Brand,
India,NextWealth,,Locations listed on company website,Mallasamudram,https://www.nextwealth.com/our-team/,has a HQ in the US despite a HQ in india
India,NextWealth,,Locations listed on company website,Salem,https://www.nextwealth.com/our-team/,
India,NextWealth,,Locations listed on company website,Puducherry,https://www.nextwealth.com/our-team/,
India,NextWealth,,Locations listed on company website,Jaipur,https://www.nextwealth.com/our-team/,
India,NextWealth,,Locations listed on company website,Udaipur,https://www.nextwealth.com/our-team/,
India,NextWealth,,Locations listed on company website,Kumbakonam,https://www.nextwealth.com/our-team/,
India,NextWealth,,Locations listed on company website,Chittoor,https://www.nextwealth.com/our-team/,
India,NextWealth,,Locations listed on company website,Vellore,https://www.nextwealth.com/our-team/,
India,NextWealth,,Locations listed on company website,Mysuru,https://www.nextwealth.com/our-team/,
India,NextWealth,,Locations listed on company website,Hubballi,https://www.nextwealth.com/our-team/,
India,NextWealth,,Locations listed on company website,Bhilai,https://www.nextwealth.com/our-team/,
Ireland,"TaskUs, Inc.",,SEC 10-K Exhibit 28,TaskUs Ireland Private Limited (Dublin),https://www.sec.gov/Archives/edgar/data/1829864/000182986426000012/exhibit211subsidiaries2025.htm,
Japan,"TaskUs, Inc.",,SEC 10-K Exhibit 29,"TaskUs Outsourcing Japan, G.K. (Tokyo)",https://www.sec.gov/Archives/edgar/data/1829864/000182986426000012/exhibit211subsidiaries2025.htm,
Madagascar,Digital Divide Data,,Locations listed on company website,.,https://www.digitaldividedata.com/#:~:text=Changing%20How%20the%20World%20Works,
Malaysia,"TaskUs, Inc.",,SEC 10-K Exhibit 30,"TaskUs Malaysia Sdn, Bhd. (Petaling Jaya)",https://www.sec.gov/Archives/edgar/data/1829864/000182986426000012/exhibit211subsidiaries2025.htm,
Malaysia,Centific,,Locations listed on company website,Johor,https://www.centific.com/company/locations,
Malaysia,Centific,,Locations listed on company website,Penang,https://www.centific.com/company/locations,
Mexico,"TaskUs, Inc.",,SEC 10-K Exhibit 31,"TaskUs, S.A. de C.V. (Tijuana)",https://www.sec.gov/Archives/edgar/data/1829864/000182986426000012/exhibit211subsidiaries2025.htm,
Nepal,CloudFactory,"Durham, USA",,Kathmandu,https://craft.co/cloudfactory/locations,
